experiment	checkpoint_day	test_start_day	test_end_day	task	auc	gauc	uauc	size	pos	log_path
BR_train_buy_uid_hard_pairwise_loss	20260725	20260726	20260726	cat	0.835610	0.719800	0.714100	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150522
BR_train_buy_uid_hard_pairwise_loss	20260725	20260726	20260726	click	0.805440	0.710500	0.708100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150522
BR_train_buy_uid_hard_pairwise_loss	20260725	20260726	20260726	ext	0.855593	0.802400	0.798500	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150522
BR_train_buy_uid_hard_pairwise_loss	20260726	20260727	20260727	buy	0.839089	0.706500	0.698900	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150604
BR_train_buy_uid_hard_pairwise_loss	20260726	20260727	20260727	cat	0.837799	0.709600	0.702300	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150604
BR_train_buy_uid_hard_pairwise_loss	20260726	20260727	20260727	click	0.802966	0.698700	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150604
BR_train_buy_uid_hard_pairwise_loss	20260726	20260727	20260727	ext	0.859436	0.814100	0.812800	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150604
BR_train_buy_uid_hard_pairwise_loss	20260727	20260728	20260728	buy	0.840082	0.704500	0.697300	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150631
BR_train_buy_uid_hard_pairwise_loss	20260727	20260728	20260728	cat	0.838785	0.707700	0.699800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150631
BR_train_buy_uid_hard_pairwise_loss	20260727	20260728	20260728	click	0.804024	0.699300	0.696100	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150631
BR_train_buy_uid_hard_pairwise_loss	20260727	20260728	20260728	ext	0.864715	0.823600	0.822400	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150631
BR_train_buy_uid_hard_pairwise_loss	20260728	20260729	20260729	buy	0.838569	0.702900	0.697500	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150659
BR_train_buy_uid_hard_pairwise_loss	20260728	20260729	20260729	cat	0.837489	0.707200	0.701600	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150659
BR_train_buy_uid_hard_pairwise_loss	20260728	20260729	20260729	click	0.805139	0.704900	0.701800	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150659
BR_train_buy_uid_hard_pairwise_loss	20260728	20260729	20260729	ext	0.856049	0.812800	0.810000	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150659
BR_train_buy_uid_hard_pairwise_loss	20260729	20260730	20260730	buy	0.838663	0.706200	0.699800	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150729
BR_train_buy_uid_hard_pairwise_loss	20260729	20260730	20260730	cat	0.837745	0.709200	0.702400	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150729
BR_train_buy_uid_hard_pairwise_loss	20260729	20260730	20260730	click	0.805162	0.703700	0.700100	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150729
BR_train_buy_uid_hard_pairwise_loss	20260729	20260730	20260730	ext	0.861605	0.801700	0.800200	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150729
BR_train_buy_uid_hard_pairwise_loss	20260730	20260731	20260731	buy	0.838957	0.708500	0.702900	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150758
BR_train_buy_uid_hard_pairwise_loss	20260730	20260731	20260731	cat	0.837900	0.712500	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150758
BR_train_buy_uid_hard_pairwise_loss	20260730	20260731	20260731	click	0.806685	0.706500	0.704200	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150758
BR_train_buy_uid_hard_pairwise_loss	20260730	20260731	20260731	ext	0.858456	0.820400	0.820100	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150758
BR_train_buy_uid_hard_pairwise_loss	20260731	20260801	20260801	buy	0.833180	0.703900	0.696900	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150835
BR_train_buy_uid_hard_pairwise_loss	20260731	20260801	20260801	cat	0.832726	0.706500	0.699300	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150835
BR_train_buy_uid_hard_pairwise_loss	20260731	20260801	20260801	click	0.804335	0.702400	0.698600	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150835
BR_train_buy_uid_hard_pairwise_loss	20260731	20260801	20260801	ext	0.856784	0.813300	0.811400	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150835
BR_train_din_dual_output_residual	20260720	20260721	20260724	buy	0.835006	0.698800	0.693700	4396238	710810	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
BR_train_din_dual_output_residual	20260720	20260721	20260724	cat	0.833889	0.702500	0.697400	4396238	735120	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
BR_train_din_dual_output_residual	20260720	20260721	20260724	click	0.802260	0.697700	0.695300	4396238	913818	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
BR_train_din_dual_output_residual	20260720	20260721	20260724	ext	0.863814	0.814800	0.814500	4396238	24499	log/rolling_test_ckpt_20260720_from_20260721_to_20260724_202608150247
BR_train_din_dual_output_residual	20260724	20260725	20260725	buy	0.833569	0.702200	0.696000	1406624	235433	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
BR_train_din_dual_output_residual	20260724	20260725	20260725	cat	0.833167	0.706100	0.699800	1406624	242812	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
BR_train_din_dual_output_residual	20260724	20260725	20260725	click	0.805269	0.700000	0.697400	1406624	296652	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
BR_train_din_dual_output_residual	20260724	20260725	20260725	ext	0.859388	0.803200	0.801300	1406624	8173	log/rolling_test_ckpt_20260724_from_20260725_to_20260725_202608150436
BR_train_din_dual_output_residual	20260725	20260726	20260726	buy	0.836258	0.716500	0.710800	1456538	239741	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
BR_train_din_dual_output_residual	20260725	20260726	20260726	cat	0.835583	0.718400	0.712600	1456538	247291	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
BR_train_din_dual_output_residual	20260725	20260726	20260726	click	0.805501	0.709700	0.707100	1456538	304515	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
BR_train_din_dual_output_residual	20260725	20260726	20260726	ext	0.855599	0.797500	0.793600	1456538	8049	log/rolling_test_ckpt_20260725_from_20260726_to_20260726_202608150512
BR_train_din_dual_output_residual	20260726	20260727	20260727	buy	0.839260	0.707300	0.700000	966809	152082	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
BR_train_din_dual_output_residual	20260726	20260727	20260727	cat	0.837924	0.709600	0.702800	966809	157325	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
BR_train_din_dual_output_residual	20260726	20260727	20260727	click	0.803122	0.698200	0.695900	966809	197322	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
BR_train_din_dual_output_residual	20260726	20260727	20260727	ext	0.860218	0.816600	0.815300	966809	5296	log/rolling_test_ckpt_20260726_from_20260727_to_20260727_202608150551
BR_train_din_dual_output_residual	20260727	20260728	20260728	buy	0.840155	0.701400	0.694000	941930	144739	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
BR_train_din_dual_output_residual	20260727	20260728	20260728	cat	0.838840	0.705400	0.697800	941930	149945	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
BR_train_din_dual_output_residual	20260727	20260728	20260728	click	0.803923	0.698500	0.694900	941930	189025	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
BR_train_din_dual_output_residual	20260727	20260728	20260728	ext	0.864559	0.827700	0.826100	941930	4977	log/rolling_test_ckpt_20260727_from_20260728_to_20260728_202608150617
BR_train_din_dual_output_residual	20260728	20260729	20260729	buy	0.838832	0.703200	0.697600	989766	157278	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
BR_train_din_dual_output_residual	20260728	20260729	20260729	cat	0.837635	0.706800	0.700800	989766	163026	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
BR_train_din_dual_output_residual	20260728	20260729	20260729	click	0.805085	0.703800	0.700200	989766	203533	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
BR_train_din_dual_output_residual	20260728	20260729	20260729	ext	0.856347	0.815700	0.813800	989766	5415	log/rolling_test_ckpt_20260728_from_20260729_to_20260729_202608150643
BR_train_din_dual_output_residual	20260729	20260730	20260730	buy	0.839051	0.704900	0.698600	1049530	167734	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
BR_train_din_dual_output_residual	20260729	20260730	20260730	cat	0.838015	0.709100	0.702700	1049530	173542	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
BR_train_din_dual_output_residual	20260729	20260730	20260730	click	0.805335	0.703900	0.700300	1049530	216378	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
BR_train_din_dual_output_residual	20260729	20260730	20260730	ext	0.861282	0.808600	0.807400	1049530	5556	log/rolling_test_ckpt_20260729_from_20260730_to_20260730_202608150710
BR_train_din_dual_output_residual	20260730	20260731	20260731	buy	0.839265	0.709700	0.704200	1345085	208246	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
BR_train_din_dual_output_residual	20260730	20260731	20260731	cat	0.838142	0.712600	0.706800	1345085	215044	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
BR_train_din_dual_output_residual	20260730	20260731	20260731	click	0.806951	0.707300	0.704700	1345085	267238	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
BR_train_din_dual_output_residual	20260730	20260731	20260731	ext	0.858311	0.817400	0.815500	1345085	7455	log/rolling_test_ckpt_20260730_from_20260731_to_20260731_202608150738
BR_train_din_dual_output_residual	20260731	20260801	20260801	buy	0.832930	0.704300	0.696800	1475756	242042	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
BR_train_din_dual_output_residual	20260731	20260801	20260801	cat	0.832371	0.706500	0.699000	1475756	249503	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
BR_train_din_dual_output_residual	20260731	20260801	20260801	click	0.804141	0.702600	0.698200	1475756	305322	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
BR_train_din_dual_output_residual	20260731	20260801	20260801	ext	0.856801	0.815400	0.813800	1475756	8393	log/rolling_test_ckpt_20260731_from_20260801_to_20260801_202608150812
